,timestamp,ID,tide,location,latitude,longitude,country,year
3364,2015-12-31,299,159.0,"Sewells Point, Hampton Roads",36.946999999999996,-76.33,USA,2015
8919,2015-12-31,954,156.0,Mokpo,34.78,126.376,KOR,2015
5055,2015-12-31,446,155.0,Ko Taphao Noi,7.832999999999999,98.43299999999999,THA,2015
1483,2015-12-31,130,153.0,Aburatsubo,35.16,139.615,JPN,2015
11175,2015-12-31,1209,153.0,Kure Iv,34.241,132.55,JPN,2015
9012,2015-12-31,979,153.0,Lusi,32.133,121.617,CHN,2015
11085,2015-12-31,1195,151.0,Cape Town (Granger Bay),-33.905,18.435,ZAF,2015
15002,2015-12-31,1635,151.0,Chesapeake Bay Br. Tun.,36.967,-76.113,USA,2015
9568,2015-12-31,1066,150.0,Jeju,33.528,126.54299999999999,KOR,2015
2221,2015-12-31,180,148.0,Atlantic City,39.355,-74.418,USA,2015
12212,2015-12-31,1297,146.0,Cabo De San Antonio,21.9,-84.9,CUB,2015
2314,2015-12-31,189,145.0,Port Hedland,-20.317999999999998,118.574,AUS,2015
10746,2015-12-31,1153,144.0,Cape May,38.968,-74.96,USA,2015
5828,2015-12-31,513,142.0,Kwajalein,8.732000000000001,167.735,MHL,2015
2128,2015-12-31,174,141.0,Ko Lak,11.8,99.81700000000001,THA,2015
2653,2015-12-31,215,140.0,Tuapse,44.1,39.067,RUS,2015
13035,2015-12-31,1387,140.0,Maizuru Ii,35.477,135.387,JPN,2015
3795,2015-12-31,359,140.0,Mera,34.919000000000004,139.825,JPN,2015
15250,2015-12-31,1644,140.0,Juan Fernandez-C,-33.635999999999996,-78.83,CHL,2015
1248,2015-12-31,111,139.0,Fremantle,-32.056,115.73899999999999,AUS,2015
12181,2015-12-31,1295,138.0,Cambridge Ii,38.573,-76.068,USA,2015
3888,2015-12-31,366,138.0,Sandy Hook,40.467,-74.008,USA,2015
13493,2015-12-31,1440,137.0,Kaminato Ii (Hatizyo Sima),33.13,139.805,JPN,2015
15033,2015-12-31,1636,137.0,Duck Pier Outside,36.183,-75.747,USA,2015
1635,2015-12-31,135,137.0,Philadelphia (Pier 9N),39.933,-75.142,USA,2015
10961,2015-12-31,1190,136.0,Mikuni,36.255,136.149,JPN,2015
3457,2015-12-31,311,136.0,Annapolis (Naval Academy),38.983000000000004,-76.48,USA,2015
7967,2015-12-31,811,136.0,Sakai,35.548,133.243,JPN,2015
2715,2015-12-31,221,134.0,Wellington Harbour,-41.284,174.78,NZL,2015
10281,2015-12-31,1107,134.0,Naples,26.131999999999998,-81.807,USA,2015
10002,2015-12-31,1098,134.0,Sumoto,34.341,134.907,JPN,2015
5642,2015-12-31,497,131.0,Port Isabel,26.06,-97.215,USA,2015
5890,2015-12-31,519,131.0,Montauk,41.048,-71.96,USA,2015
3950,2015-12-31,368,130.0,St. Georges / Esso Pier (Bermuda),32.373000000000005,-64.703,BMU,2015
15064,2015-12-31,1637,130.0,"Bergen Point, Staten Is.",40.637,-74.142,USA,2015
8060,2015-12-31,814,130.0,Aburatsu,31.576999999999998,131.409,JPN,2015
4346,2015-12-31,395,129.0,Fort Pulaski,32.033,-80.902,USA,2015
14383,2015-12-31,1585,129.0,Hamada Ii,34.897,132.066,JPN,2015
8339,2015-12-31,825,129.0,Gladstone,-23.854,151.314,AUS,2015
8091,2015-12-31,815,127.0,Tosa Shimizu,32.779,132.959,JPN,2015
9971,2015-12-31,1097,127.0,Odomari,31.024,130.689,JPN,2015
1666,2015-12-31,136,126.0,Dunedin Ii,-45.879,170.513,NZL,2015
9105,2015-12-31,985,125.0,Cadiz Iii,36.54,-6.2860000000000005,ESP,2015
2746,2015-12-31,224,125.0,Lewes (Breakwater Harbor),38.782,-75.12,USA,2015
10219,2015-12-31,1105,125.0,Nakano Sima,29.842,129.84799999999998,JPN,2015
7908,2015-12-31,809,125.0,Komatsushima,34.009,134.588,JPN,2015
2870,2015-12-31,234,123.0,Charleston I,32.782,-79.925,USA,2015
9847,2015-12-31,1093,122.0,Awa Sima,38.468,139.255,JPN,2015
3826,2015-12-31,360,121.0,Washington Dc,38.873000000000005,-77.02199999999999,USA,2015
