,ID,Location,Country,Latitude,Longitude,timestamp,tide
163,1,BREST,FRA,48.383,-4.495,1820-08-01,6944.0
164,1,BREST,FRA,48.383,-4.495,1820-09-01,6869.0
165,1,BREST,FRA,48.383,-4.495,1820-10-01,7043.0
166,1,BREST,FRA,48.383,-4.495,1820-11-01,7012.0
167,1,BREST,FRA,48.383,-4.495,1820-12-01,6974.0
168,1,BREST,FRA,48.383,-4.495,1821-01-01,7032.0
169,1,BREST,FRA,48.383,-4.495,1821-02-01,6820.0
170,1,BREST,FRA,48.383,-4.495,1821-03-01,6987.0
171,1,BREST,FRA,48.383,-4.495,1821-04-01,6919.0
172,1,BREST,FRA,48.383,-4.495,1821-05-01,6840.0
173,1,BREST,FRA,48.383,-4.495,1821-06-01,6847.0
174,1,BREST,FRA,48.383,-4.495,1821-07-01,6943.0
175,1,BREST,FRA,48.383,-4.495,1821-08-01,6918.0
176,1,BREST,FRA,48.383,-4.495,1821-09-01,6966.0
177,1,BREST,FRA,48.383,-4.495,1821-10-01,6986.0
178,1,BREST,FRA,48.383,-4.495,1821-11-01,7098.0
179,1,BREST,FRA,48.383,-4.495,1821-12-01,7248.0
180,1,BREST,FRA,48.383,-4.495,1822-01-01,6815.0
181,1,BREST,FRA,48.383,-4.495,1822-02-01,6855.0
182,1,BREST,FRA,48.383,-4.495,1822-03-01,6835.0
183,1,BREST,FRA,48.383,-4.495,1822-04-01,6909.0
184,1,BREST,FRA,48.383,-4.495,1822-05-01,6886.0
185,1,BREST,FRA,48.383,-4.495,1822-06-01,6902.0
186,1,BREST,FRA,48.383,-4.495,1822-07-01,6967.0
187,1,BREST,FRA,48.383,-4.495,1822-08-01,6969.0
188,1,BREST,FRA,48.383,-4.495,1822-09-01,7037.0
189,1,BREST,FRA,48.383,-4.495,1822-10-01,7187.0
190,1,BREST,FRA,48.383,-4.495,1822-11-01,7089.0
191,1,BREST,FRA,48.383,-4.495,1822-12-01,6890.0
192,1,BREST,FRA,48.383,-4.495,1823-01-01,7077.0
193,1,BREST,FRA,48.383,-4.495,1823-02-01,7078.0
194,1,BREST,FRA,48.383,-4.495,1823-03-01,6835.0
195,1,BREST,FRA,48.383,-4.495,1823-04-01,6871.0
196,1,BREST,FRA,48.383,-4.495,1823-05-01,6911.0
197,1,BREST,FRA,48.383,-4.495,1823-06-01,6879.0
198,1,BREST,FRA,48.383,-4.495,1823-07-01,6934.0
199,1,BREST,FRA,48.383,-4.495,1823-08-01,6962.0
200,1,BREST,FRA,48.383,-4.495,1823-09-01,6927.0
201,1,BREST,FRA,48.383,-4.495,1823-10-01,7064.0
202,1,BREST,FRA,48.383,-4.495,1823-11-01,6922.0
203,1,BREST,FRA,48.383,-4.495,1823-12-01,6942.0
204,1,BREST,FRA,48.383,-4.495,1824-01-01,6816.0
205,1,BREST,FRA,48.383,-4.495,1824-02-01,6984.0
206,1,BREST,FRA,48.383,-4.495,1824-03-01,6815.0
207,1,BREST,FRA,48.383,-4.495,1824-04-01,6733.0
208,1,BREST,FRA,48.383,-4.495,1824-05-01,6900.0
209,1,BREST,FRA,48.383,-4.495,1824-06-01,6950.0
210,1,BREST,FRA,48.383,-4.495,1824-07-01,6894.0
211,1,BREST,FRA,48.383,-4.495,1824-08-01,6915.0
