,ID,First,Last,Percent Change,rise,Location,Latitude,Longitude,GLOSS ID,Country,Date,Coastline,Station,id,Flag
60,163,7074.333333333334,7113.783333333335,0.557649719643793,up,Balboa,8.967,-79.567,168.0,PAN,24/05/2016,840,11,163, N
61,165,7028.166666666667,6995.166666666667,-0.4695392349830444,even,Tofino,49.15,-125.917,156.0,CAN,28/06/2016,822,116,165, N
62,166,6987.863636363637,7027.333333333333,0.5648321006767018,up,Victoria,48.417,-123.367,,CAN,31/05/2016,822,101,166, N
63,167,6941.28787878788,6996.833333333333,0.8002182810368146,up,Prince Rupert,54.317,-130.333,155.0,CAN,31/05/2016,822,1,167, N
64,172,6966.183333333334,6750.433333333334,-3.0971048230618865,down,Mantyluoto,61.593999999999994,21.463,,FIN,06/10/2015,60,101,172, N
65,173,7004.516666666667,6943.0,-0.8782428480670899,down,Quebec (Lauzon),46.833,-71.167,,CAN,07/05/2013,970,71,173, N
66,174,6965.984848484848,7112.45606060606,2.1026633750584587,up,Ko Lak,11.8,99.81700000000001,39.0,THA,02/07/2015,600,21,174, N
67,175,7078.333333333334,7132.0,0.7581822462914912,up,Vancouver,49.283,-123.117,,CAN,31/05/2016,822,71,175, Y
68,179,7038.65,7015.416666666667,-0.3300822364136968,even,Smogen,58.354,11.218,,SWE,05/04/2016,50,11,179, N
69,180,7065.229166666667,7194.8,1.8339225844879983,up,Atlantic City,39.355,-74.418,220.0,USA,08/03/2016,960,91,180, N
70,183,7107.2,7167.983333333333,0.8552360048026347,up,Portland (Maine),43.657,-70.247,,USA,08/03/2016,960,181,183, N
71,185,7055.409090909091,7123.47251082251,0.9646984184250789,up,Puerto Deseado,-47.75,-65.917,190.0,ARG,21/10/2015,860,11,185, N
72,188,7142.3,7265.748484848485,1.728413604139905,up,Key West,24.555,-81.807,216.0,USA,08/03/2016,940,71,188, N
73,189,7188.223333333333,7287.05,1.3748413492995741,up,Port Hedland,-20.317999999999998,118.574,51.0,AUS,30/06/2016,680,494,189, N
74,192,7164.939393939394,7050.772727272726,-1.593407290552074,down,Neuville,46.7,-71.567,,CAN,31/05/2016,970,89,192, N
75,193,7055.833333333334,7093.5,0.5338372505019401,up,Point Atkinson,49.333,-123.25,,CAN,28/06/2016,822,51,193, N
76,194,6914.990909090909,6646.033333333335,-3.889485601549879,down,Pietarsaari / Jakobstad,63.708999999999996,22.69,,FIN,06/10/2015,60,41,194, N
77,195,7037.203030303031,7094.227272727274,0.8103253832337957,up,"Saint John, N.B.",45.266999999999996,-66.067,,CAN,31/05/2016,970,1,195, N
78,196,6997.783333333333,7057.533333333335,0.8538418118118616,up,"Sydney, Fort Denison 2",-33.855,151.226,57.0,AUS,30/06/2016,680,140,196, N
79,201,7279.333333333334,7028.0,-3.452697133437136,down,Deschaillons,46.567,-72.1,,CAN,31/05/2016,970,74,201, N
80,202,7031.35,7132.9519480519475,1.4449849325086526,up,Newlyn,50.103,-5.542999999999999,241.0,GBR,31/05/2016,170,161,202, N
81,203,6938.516666666667,6689.883333333333,-3.5833787721198926,down,Furuogrund,64.916,21.230999999999998,,SWE,05/04/2016,50,201,203, N
82,215,7036.5,7236.709090909091,2.845293695858611,up,Tuapse,44.1,39.067,98.0,RUS,30/08/2016,300,1,215, N
83,216,6868.842424242424,6974.0166666666655,1.5311785586032127,up,Port Pirie,-33.178000000000004,138.012,,AUS,30/06/2016,680,391,216, N
84,221,7047.386666666667,7150.4681818181825,1.462691349675463,up,Wellington Harbour,-41.284,174.78,101.0,NZL,12/07/2016,690,11,221, N
85,224,7044.996666666666,7173.416666666667,1.8228539497771372,up,Lewes (Breakwater Harbor),38.782,-75.12,,USA,08/03/2016,960,85,224, N
86,225,7039.169047619047,7021.5666666666675,-0.2500633360742111,even,Ketchikan,55.332,-131.625,,USA,08/03/2016,821,51,225, N
87,229,6930.966666666667,6638.083333333333,-4.225721279859964,down,Kemi,65.673,24.515,,FIN,06/10/2015,60,1,229, N
88,230,6944.092424242424,7004.980303030303,0.8768299018502923,up,Port Lincoln,-34.716,135.87,,AUS,30/06/2016,680,431,230, N
89,234,7063.15,7187.533333333333,1.7610178650224506,up,Charleston I,32.782,-79.925,,USA,08/03/2016,960,41,234, N
90,235,7106.166666666666,7213.35,1.5083143748387688,up,Boston,42.353,-71.053,,USA,08/03/2016,960,171,235, N
91,236,6871.633333333334,6980.566666666666,1.5852611460642287,up,West-Terschelling,53.363,5.22,,NLD,14/06/2016,150,11,236, N
92,239,6976.0142857142855,6813.95,-2.323164475826352,down,Turku / Abo,60.428000000000004,22.101,,FIN,06/10/2015,60,241,239, N
93,240,6924.5,6659.833333333333,-3.8221772931860345,down,Raahe / Brahestad,64.666,24.406999999999996,,FIN,06/10/2015,60,21,240, N
94,245,7021.266666666667,7112.216666666667,1.2953503166570106,up,Los Angeles,33.72,-118.272,,USA,08/03/2016,823,51,245, N
95,246,7057.9833333333345,7146.636666666667,1.2560717296489232,up,Pensacola,30.403000000000002,-87.21,288.0,USA,08/03/2016,940,41,246, N
96,249,6996.490530303031,6797.833333333333,-2.839383489612094,down,Foglo / Degerby,60.032,20.385,,ALA,06/10/2015,60,281,249, N
97,255,6980.0,7106.633333333334,1.814231136580718,up,Dover,51.114,1.3230000000000002,,GBR,31/05/2016,170,111,255, Y
98,256,7015.1,7158.583333333334,2.0453497930654385,up,La Jolla (Scripps Pier),32.867,-117.257,159.0,USA,08/03/2016,823,71,256, N
99,265,6937.583333333333,6960.266666666667,0.32696303948302324,even,Astoria (Tongue Point),46.207,-123.76799999999999,,USA,08/03/2016,823,13,265, N
100,266,7077.75,7006.881818181818,-1.0012812238095745,down,Seward,60.12,-149.42700000000002,150.0,USA,08/03/2016,821,17,266, N
101,285,6976.85,6719.3,-3.691494012340815,down,Kaskinen / Kasko,62.343999999999994,21.215,,FIN,06/10/2015,60,71,285, N
102,286,7023.1,7014.253463203463,-0.1259634178146017,even,Immingham,53.63,-187.0,,GBR,06/05/2015,170,61,286, N
103,299,7086.883333333333,7270.25,2.58740913377531,up,"Sewells Point, Hampton Roads",36.946999999999996,-76.33,,USA,08/03/2016,960,71,299, N
104,300,7015.266666666667,7130.364646464647,1.6406786123309143,up,"Hilo, Hawaii Island",19.73,-155.055,287.0,USA,08/03/2016,760,61,300, N
105,302,6987.242424242424,7013.5666666666675,0.37674723196823445,even,Tregde,58.006,7.555,321.0,NOR,08/09/2016,40,301,302, N
106,311,7002.666666666667,7147.933333333334,2.0744478293983337,up,Annapolis (Naval Academy),38.983000000000004,-76.48,,USA,08/03/2016,960,80,311, N
107,312,7070.633333333333,6980.3166666666675,-1.2773490352113535,down,Narvik,68.428,17.426,,NOR,08/09/2016,40,81,312, N
108,313,7004.953333333334,6995.016666666667,-0.14185200377256613,even,Heimsjo,63.425,9.102,,NOR,08/09/2016,40,151,313, N
109,315,6958.1,6907.633333333333,-0.7252937823064796,down,Hamina,60.563,27.179000000000002,,FIN,06/10/2015,60,361,315, N
110,330,7048.35,7075.15,0.38023083416685144,even,Klagshamn,55.522,12.894,,SWE,05/04/2016,50,51,330, N
111,331,7162.9,7160.125450937951,-0.038734996468584075,even,Takoradi,4.885,-1.745,335.0,GHA,15/03/2013,410,1,331, N
112,332,7047.666666666667,7106.55,0.8355011114789748,up,Eastport,44.903,-66.982,,USA,08/03/2016,960,201,332, N
113,334,7028.933333333334,7112.466666666667,1.18842119240472,up,Southend,51.513999999999996,724.0,,GBR,17/05/2016,170,81,334, N
114,350,7036.433333333334,7107.165757575758,1.0052312143333573,up,Portsmouth,50.802,-1.111,,GBR,31/05/2016,170,131,350, Y
115,351,7096.7333333333345,7198.583333333334,1.4351673539938483,up,Newport,41.505,-71.327,290.0,USA,08/03/2016,960,161,351, N
116,352,7057.466666666667,7151.5,1.3323950048175857,up,Split - Gradska Luka,43.507,16.442,,HRV,17/05/2016,280,31,352, N
117,353,7048.383333333333,7139.35,1.2906032825494331,up,Bakar,45.3,14.533,,HRV,01/10/2015,280,11,353, N
118,359,6933.383333333333,7087.533333333335,2.223301274269678,up,Mera,34.919000000000004,139.825,86.0,JPN,15/03/2016,642,61,359, Y
119,360,6971.35,7070.65,1.4244012996048006,up,Washington Dc,38.873000000000005,-77.02199999999999,,USA,08/03/2016,960,76,360, N
120,361,6996.256060606061,7045.249494949496,0.7002807490037901,up,Aberdeen I,57.144,-2.077,,GBR,31/05/2016,170,11,361, N
121,366,7080.783333333333,7223.955555555556,2.021982815774479,up,Sandy Hook,40.467,-74.008,,USA,08/03/2016,960,101,366, N
122,367,7024.6,7134.2,1.5602311875409196,up,Woods Hole (Ocean. Inst.),41.523,-70.672,,USA,08/03/2016,960,165,367, N
123,368,7004.05,7163.9571428571435,2.2830668378601424,up,St. Georges / Esso Pier (Bermuda),32.373000000000005,-64.703,221.0,BMU,08/03/2016,950,11,368, N
124,369,7032.383333333334,7319.541111111112,4.083363550684962,up,Calcutta (Garden Reach),22.55,88.3,,IND,23/08/2016,500,141,369, Y
125,373,6914.666666666667,7069.777777777778,2.243218922740715,up,Thessaloniki,40.633,22.935,,GRC,14/06/2016,290,51,373, N
126,374,6988.166666666666,7014.166666666667,0.3720575258174664,even,Piraievs,37.937,23.627,,GRC,14/06/2016,290,31,374, Y
127,375,6972.227272727274,6778.917171717172,-2.7725731455464464,down,Kavalla,40.935,24.412,,GRC,07/08/2013,290,61,375, N
128,376,6912.55,6713.316666666666,-2.8821973560167304,down,Rauma / Raumo,61.13399999999999,21.426,,FIN,06/10/2015,60,121,376, N
129,377,6951.75,7067.95,1.6715215593195931,up,Santa Monica (Municipal Pier),34.008,-118.5,,USA,08/03/2016,823,49,377, N
130,378,7076.533333333335,7040.116666666667,-0.5146116742661361,down,Crescent City,41.745,-124.182,,USA,08/03/2016,823,21,378, N
131,384,7014.45,7076.85,0.8895921989607246,up,Friday Harbor (Ocean. Labs.),48.547,-123.01,,USA,08/03/2016,823,6,384, N
132,385,7007.633333333334,6940.2666666666655,-0.9613326420237255,down,Neah Bay,48.367,-124.61200000000001,,USA,08/03/2016,823,1,385, N
133,392,6960.030303030304,7081.575757575757,1.7463351343820137,up,Port Aux Basques,47.567,-59.133,,CAN,31/05/2016,970,111,392, N
134,393,6968.166666666666,7047.0,1.1313353584156611,up,"St. John'S, Nfld.",47.567,-52.717,223.0,CAN,28/06/2016,970,121,393, N
135,394,7009.622222222222,7051.666666666667,0.5998104193283555,up,Cebu,10.3,123.917,,PHL,01/12/2015,660,101,394, N
136,395,7102.75,7246.846666666667,2.0287447350204815,up,Fort Pulaski,32.033,-80.902,289.0,USA,08/03/2016,960,31,395, N
137,396,7121.883333333333,7201.7,1.1207241530213208,up,Wilmington,34.227,-77.953,,USA,08/03/2016,960,60,396, N
138,397,7029.0,7066.766666666667,0.5372978612415327,up,Sassnitz,54.511,13.642999999999999,,DEU,01/09/2016,120,4,397, N
139,405,6890.116666666667,6346.1,-7.895608927763677,down,Juneau,58.298,-134.412,,USA,08/03/2016,821,44,405, N
140,407,6971.601515151515,6997.7,0.37435422537798024,even,Uchiura,35.016999999999996,138.89,,JPN,15/03/2016,642,118,407, N
141,408,6843.443939393939,7032.458333333334,2.761977676931682,up,Khios,38.372,26.141,,GRC,14/06/2016,290,71,408, N
142,409,6971.063492063492,7047.181818181818,1.0919184168238627,up,Posidhonia,37.951,22.96,,GRC,14/06/2016,290,11,409, N
143,410,7110.921212121213,7130.984848484848,0.2821524211157711,even,Preveza,38.959,20.756999999999998,,GRC,14/06/2016,290,1,410, N
144,411,6917.256565656566,7054.0,1.9768449101967782,up,Kalamai,37.024,22.116,,GRC,14/06/2016,290,21,411, N
145,412,7079.7300000000005,7273.075252525252,2.730969295795905,up,Solomon'S Island (Biol. Lab.),38.317,-76.452,,USA,08/03/2016,960,78,412, N
146,413,6970.066666666666,7055.65,1.2278696521315045,up,Oostende,51.233000000000004,2.917,,BEL,26/07/2016,160,21,413, N
147,414,7092.59696969697,7142.404090909093,0.7022409623008805,up,Vishakhapatnam,17.683,83.28299999999999,35.0,IND,23/08/2016,500,101,414, N
148,426,7020.411904761905,6876.516666666667,-2.04966945027306,down,Sitka,57.052,-135.342,154.0,USA,08/03/2016,821,31,426, N
149,427,6983.986868686868,7098.909090909091,1.6455102849274268,up,Charlottetown,46.233000000000004,-63.117,,CAN,31/05/2016,970,31,427, N
150,428,7011.25,7108.55,1.3877696559101471,up,Cedar Key Ii,29.135,-83.03200000000001,,USA,08/03/2016,940,52,428, N
151,429,7044.666666666666,7144.654545454546,1.4193415177611393,up,New London,41.36,-72.09,,USA,08/03/2016,960,151,429, N
152,430,7044.2333333333345,7124.254545454545,1.1359818497571639,up,Providence (State Pier),41.806999999999995,-71.4,,USA,08/03/2016,960,158,430, N
153,431,6993.0,6987.643939393939,-0.07659174325841504,even,Montevideo (Punta Lobos),-34.9,-56.25,300.0,URY,02/02/2016,870,11,431, N
154,437,7035.166666666666,7082.816666666666,0.6773116012413775,up,Alameda (Naval Air Station),37.772,-122.29799999999999,,USA,08/03/2016,823,32,437, N
155,438,6949.306060606061,6980.616666666667,0.4505573043918482,even,Cochin (Willingdon Is.),9.967,76.267,32.0,IND,23/08/2016,500,81,438, N
156,444,6791.083333333333,7480.666666666667,10.154246376989445,up,Fort Phrachula Chomklao (Pom Phrachun),13.55,100.583,,THA,02/07/2015,600,41,444, Y
157,445,6917.5666666666675,6446.066666666667,-6.815980571202795,down,Yakutat,59.548,-139.733,,USA,08/03/2016,821,26,445, N
158,446,7120.45,7244.533333333333,1.7426333073518252,up,Ko Taphao Noi,7.832999999999999,98.43299999999999,42.0,THA,06/08/2013,545,1,446, N
159,447,7313.055555555555,6860.166666666667,-6.192881832339409,down,Churchill,58.766999999999996,-94.18299999999999,,CAN,27/07/2015,970,141,447, N
160,448,6919.616666666667,7012.95,1.348822309520995,up,Port Adelaide (Outer Harbor),-34.78,138.481,,AUS,30/06/2016,680,311,448, N
161,468,6918.866666666666,6992.727272727272,1.0675246340046953,up,Dunkerque,51.048,2.367,,FRA,30/08/2016,190,1,468, N
162,470,6959.1,7054.388888888888,1.3692702919757929,up,Zeebrugge,51.35,3.2,,BEL,26/07/2016,160,11,470, N
163,474,6917.133333333333,7109.816666666666,2.7855951887583363,up,Dieppe,49.928999999999995,1.084,,FRA,30/08/2016,190,31,474, N
164,483,6842.833333333334,6887.351515151515,0.6505811211464192,up,Vigo,42.238,-8.731,,ESP,01/03/2016,200,41,483, N
165,484,7029.783333333333,7127.75,1.3935943971720393,up,La Coruna I,43.369,-8.398,243.0,ESP,24/02/2016,200,30,484, N
166,485,6963.95,7093.0,1.8531149706703838,up,Santander I,43.461000000000006,-3.7910000000000004,,ESP,24/02/2016,200,11,485, N
167,486,6919.2,6957.2,0.5491964388946698,up,Maloy,61.934,5.113,,NOR,08/09/2016,40,211,486, N
168,487,7074.7,6985.128787878789,-1.2660778848744245,down,Adak Sweeper Cove,51.863,-176.632,302.0,USA,08/03/2016,820,11,487, Y
169,488,6984.059848484848,7058.933333333334,1.0720624747327991,up,Tarifa,36.009,-5.603,,ESP,24/02/2016,220,21,488, N
170,495,7249.083333333333,6293.9,-13.176608536711539,down,Skagway,59.45,-135.327,,USA,08/03/2016,821,41,495, N
171,496,6898.041666666667,6996.3166666666675,1.4246797098210318,up,Malaga,36.713,-4.415,,ESP,27/04/2015,220,31,496, N
172,497,7041.883333333333,7181.016666666667,1.9757971944058639,up,Port Isabel,26.06,-97.215,,USA,08/03/2016,940,1,497, N
173,498,6964.359523809524,7011.966666666667,0.6835824987837772,up,Ceuta,35.891999999999996,-5.316,249.0,ESP,24/02/2016,340,1,498, N
174,499,6973.666666666667,6954.536969696969,-0.2743133258883097,even,Valparaiso,-33.027,-71.626,175.0,CHL,03/09/2015,850,31,499, Y
175,508,7013.15,7087.85,1.0651419119796488,up,Port San Luis,35.177,-120.76,,USA,08/03/2016,823,42,508, N
176,509,6955.7,6965.466666666667,0.14041241955040232,even,Alesund,62.468999999999994,6.152,,NOR,08/09/2016,40,191,509, N
177,510,6988.626262626263,7009.533333333333,0.29915851730226717,even,Antofagasta 2,-23.653000000000002,-70.404,174.0,CHL,13/07/2015,850,12,510, N
178,513,7008.833333333334,7121.492424242424,1.6073872148349475,up,Kwajalein,8.732000000000001,167.735,111.0,MHL,08/03/2016,720,11,513, N
179,518,6992.1833333333325,7290.2,4.262140342430009,up,Kushiro,42.976000000000006,144.371,89.0,JPN,15/03/2016,641,21,518, N
180,519,7051.85,7201.151515151515,2.1171964116014186,up,Montauk,41.048,-71.96,,USA,08/03/2016,960,135,519, N
181,520,7080.583333333334,7212.8,1.8673131921804875,up,St. Petersburg,27.76,-82.62700000000001,,USA,08/03/2016,940,61,520, N
182,521,6962.133333333333,7048.083333333334,1.2345353914509067,up,"Kahului Harbor, Maui Island",20.895,-156.477,,USA,08/03/2016,760,51,521, N
183,522,7030.212121212122,7329.2380952380945,4.253441700908673,up,"Legaspi, Albay",13.15,123.75,72.0,PHL,01/12/2015,660,21,522, N
184,523,6956.09375,7051.9333333333325,1.3777787761030749,up,Midway Island,28.212,-177.36,106.0,UMI,08/03/2016,760,1,523, N
185,524,,7033.366666666666,,none,Vardo,70.375,31.104,323.0,NOR,08/09/2016,40,1,524, N
186,525,7077.673809523809,7165.6303030303025,1.2427316640128039,up,"Bar Harbor, Frenchman Bay, Me",44.391999999999996,-68.205,,USA,08/03/2016,960,191,525, N
187,526,6970.176666666666,7283.478787878788,4.494894981793222,up,Grand Isle,29.263,-89.95700000000001,,USA,08/03/2016,940,21,526, N
188,537,7120.374242424242,7208.327272727273,1.2352304430712973,up,"Davao, Davao Gulf",7.082999999999999,125.633,71.0,PHL,01/12/2015,660,121,537, N
189,538,6973.383333333333,7188.589999999999,3.086115539324518,up,Rockport,28.022,-97.04700000000001,,USA,08/03/2016,940,5,538, N
190,539,6980.483333333333,7202.2,3.1762366025275304,up,Pago Pago,-14.28,-170.69,144.0,ASM,08/03/2016,745,1,539, N
191,540,7034.233333333333,7153.2095238095235,1.6913881703695381,up,"Apra Harbour, Guam",13.437999999999999,144.653,149.0,GUM,08/03/2016,701,1,540, N
192,541,7039.666666666666,6923.7666666666655,-1.6463847720062583,down,Barentsburg,78.067,14.25,231.0,SJM,26/01/2016,25,1,541, N
193,543,7088.0,7179.6,1.2923250564334137,up,Diamond Harbour,22.2,88.167,,IND,23/08/2016,500,131,543, N
194,562,6950.305555555556,6993.316666666666,0.6188377009803572,up,Bodo,67.288,14.390999999999998,,NOR,08/09/2016,40,101,562, N
195,564,6971.837878787878,7060.883333333334,1.2772163681025996,up,Mackay,-21.1,149.233,,AUS,30/06/2016,680,61,564, N
196,566,7001.783333333335,7134.7,1.8983259026866743,up,Cordova,60.558,-145.752,,USA,08/03/2016,821,20,566, N
197,569,6966.166666666666,7058.633333333333,1.3273679929181592,up,Tiksi (Tiksi Bukhta),71.583,128.917,313.0,RUS,13/08/2013,30,447,569, N
198,593,6891.2666666666655,6923.662698412699,0.4701027156986127,even,Arrecife,28.971999999999998,-13.53,,ESP,24/02/2016,370,1,593, N
199,595,7009.15,7108.033333333335,1.4107749632028854,up,Wake Island,19.29,166.61700000000002,105.0,MHL,08/03/2016,720,21,595, N
200,599,6934.333333333333,7109.333333333334,2.5236744700283746,up,Amderma,69.75,61.7,,RUS,08/12/2014,30,310,599, N
201,600,6954.666666666667,7085.065656565656,1.8749854759248854,up,Ust Kara,69.25,64.517,,RUS,08/12/2014,30,315,600, N
