STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE
1797,CSAR,12.142,0.011,0.60,0.18,2018.0000,ULR6,2005-01-09,2019-01-14
1799,HOLB,-22.545,0.004,1.95,0.21,2018.0000,ULR6,1992-09-08,2019-01-19
1805,LAUT,51.680,0.008,-1.14,0.26,2018.0000,ULR6,2001-11-22,2019-01-19
1810,MALA,41.155,0.006,,,2017.9987,NGL,2003-01-01,2019-01-19
1811,BCL1,42.061,0.002,,,2017.9987,NGL,2016-01-12,2019-01-19
1813,VALE,43.000,0.002,,,2017.9987,NGL,2000-12-31,2019-01-19
1816,DAKA,23.853,0.014,,,2018.0000,ULR6,2002-03-21,2007-06-08
1831,ASCG,8.191,0.023,,,2017.9987,NGL,2015-09-18,2019-01-19
1838,MAJU,22.622,0.012,0.84,0.38,2018.0000,ULR6,2007-05-22,2019-01-19
1839,TUVA,28.899,0.008,-1.69,0.17,2018.0000,ULR6,2001-11-28,2019-01-16
1840,SAMO,31.064,0.007,,,2018.0000,ULR6,2001-07-01,2019-01-19
1841,VANU,57.612,0.010,,,2018.0000,ULR6,2002-09-11,2013-08-20
1842,TONG,46.514,0.007,2.97,0.41,2018.0000,ULR6,2002-02-18,2019-01-19
1843,CKIS,6.921,0.006,-0.50,0.36,2018.0000,ULR6,2001-09-10,2018-10-30
1844,NAUR,34.528,0.007,-0.94,0.25,2018.0000,ULR6,2003-06-29,2019-01-19
1858,MIA3,-33.493,0.016,-0.17,0.39,2018.0000,ULR6,1998-06-04,2009-06-18
1860,PNGM,71.439,0.007,-2.66,0.45,2018.0000,ULR6,2002-05-01,2019-01-19
1861,SOLO,60.165,0.017,,,2018.0000,ULR6,2008-06-29,2019-01-19
1883,HUE1,43.873,0.002,,,2017.9932,NGL,2017-07-13,2019-01-19
1886,CAS1,-25.114,0.004,1.56,1.76,2018.0000,ULR6,1994-07-05,2019-01-19
1892,MALL,41.971,0.003,,,2017.9987,NGL,2000-12-31,2019-01-19
1914,TGCV,23.877,0.007,,,2018.0000,ULR6,2000-04-29,2014-12-02
1920,CHAT,3.531,0.011,-0.51,0.28,2018.0000,ULR6,1995-10-04,2012-02-18
1925,POHN,45.467,0.009,0.90,0.38,2018.0000,ULR6,2003-05-02,2019-01-19
1929,AJAC,40.766,0.004,0.39,0.14,2018.0000,ULR6,2000-01-22,2019-01-19
1930,HOLM,-23.696,0.011,3.23,0.57,2018.0000,ULR6,2001-08-29,2017-12-04
1931,ROTH,0.483,0.011,4.88,2.61,2018.0000,ULR6,2010-02-06,2019-01-19
1932,IBIZ,42.096,0.007,-2.36,0.18,2018.0000,ULR6,2004-10-14,2019-01-19
1942,FFTG,-45.004,0.112,,,2018.0000,ULR6,2012-04-04,2013-03-25
2012,IRYL,-41.192,0.009,,,2018.0862,NGL,2013-10-30,2019-01-19
2054,TARI,34.661,0.008,0.21,0.59,2018.0000,ULR6,2010-05-15,2019-01-19
2057,MELI,42.070,0.011,,,2017.9987,NGL,2011-12-15,2019-01-19
2061,MAL1,42.053,0.003,,,2017.6810,NGL,2015-10-29,2019-01-19
2144,GARI,33.280,0.006,-3.99,0.63,2018.0000,ULR6,2009-05-25,2019-01-19
2216,RGTG,-3.482,0.056,,,2018.0000,ULR6,2009-02-25,2014-06-25
2217,TBTG,-6.852,0.008,-0.32,0.54,2018.0000,ULR6,2009-05-19,2016-10-02
2338,PASA,41.307,0.007,-0.08,0.25,2018.0000,ULR6,2007-02-12,2019-01-19
